100
95	27	26	83
84	93	97	42
71	54	49	1
52	89	21	44
97	12	75	90
95	100	6	1
7	64	22	86
46	8	50	42
31	86	77	42
96	28	43	78
70	42	55	44
81	25	98	26
99	19	49	23
69	44	80	56
39	15	9	63
16	2	3	41
35	71	71	95
39	72	81	69
39	15	91	37
75	62	30	13
37	1	6	70
92	2	95	68
23	55	99	89
77	35	18	87
43	49	45	61
39	55	18	66
95	13	28	66
52	50	92	52
73	83	21	15
56	68	8	24
20	34	85	84
81	71	17	20
75	97	85	9
66	9	60	93
77	90	75	70
2	68	50	79
70	93	76	59
4	31	61	96
38	69	45	87
61	39	68	29
68	7	6	16
53	33	20	70
52	79	98	45
24	81	85	25
54	41	42	74
35	76	97	21
7	33	64	46
17	10	64	77
25	6	10	95
45	45	9	71
49	62	19	23
74	23	5	11
3	85	13	16
53	11	26	80
68	14	96	43
83	97	53	75
93	52	81	33
8	64	80	22
38	54	31	80
43	93	82	12
35	26	45	49
22	65	37	90
84	16	66	49
97	11	76	88
77	66	8	63
40	75	65	22
24	41	59	4
48	90	67	25
11	3	15	3
34	47	3	89
83	84	85	74
73	18	97	2
36	61	68	86
45	19	22	6
35	34	70	79
7	27	23	19
50	72	64	36
95	44	84	23
18	5	68	71
21	96	18	30
18	56	56	55
43	15	24	49
97	5	59	51
1	49	74	79
80	45	56	34
88	96	26	15
44	17	66	12
96	40	34	61
50	83	49	82
35	67	27	35
91	29	62	40
93	23	2	4
27	76	93	18
56	49	3	77
12	27	46	72
36	62	25	85
85	8	82	3
50	100	2	0
41	25	7	33
10	28	2	8
